dist;name;north_Y_;east_X_;height;layer;Type;Width;Dam_width;Slope_cleaned;Dam_Slope;SlopeMovWin_cleaned;Dam_SlopeMovWin;Sinuosity_MovWin;Dam_SinuosityMovWin;Sinuosity140;Dam_Sinuosity140;SinuosityCustom;Dam_SinuosityCustom
3160;;;;;;No Dam;36;NA;1.231;NA;1.575;NA;1.008;NA;1.008;NA;1.037;NA
3170;;;;;;No Dam;35;NA;1.231;NA;0.886;NA;1.007;NA;1.008;NA;1.037;NA
3178.547189;;;;;;Ice Dam;37;37;1.251;NA;0.925;NA;1.005;NA;1.008;NA;1.037;NA
3180;;;;;;No Dam;38;NA;1.251;NA;1.417;NA;1.004;NA;1.008;NA;1.037;NA
3190;GPS0003;6985559.798;563054.148;126.842;soknaicedamsurvy;No Dam;41;NA;1.217;1.217;1.701;1.701;1.003;1.003;1.008;1.008;1.037;1.37.
3200;;;;;;No Dam;41;NA;1.217;NA;1.788;NA;1.003;NA;1.008;NA;1.037;NA
3210;;;;;;No Dam;39;NA;1.217;NA;1.155;NA;1.002;NA;1.008;NA;1.037;NA
3218.054593;;;;;;Ice Dam;40;40;1.601;NA;1.094;NA;1.002;NA;1.008;NA;1.037;NA
3220;;;;;;No Dam;40;NA;1.601;NA;1.616;NA;1.001;NA;1.005;NA;1.037;NA
3230;GPS0004;6985574.874;563019.084;125.852;soknaicedamsurvy;No Dam;36;NA;2.17;2.17;1.829;1.829;1.001;1.001;1.005;1.005;1.037;1.37.
3240;;;;;;No Dam;31;NA;2.17;NA;1.989;NA;1.001;NA;1.005;NA;1.037;NA
3250;;;;;;No Dam;29;NA;2.17;NA;1.859;NA;1.001;NA;1.005;NA;1.037;NA
3260;;;;;;No Dam;33;NA;1.097;NA;1.361;NA;1.001;NA;1.005;NA;1.037;NA
3270;;;;;;No Dam;34;NA;1.097;NA;1.145;NA;1.001;NA;1.005;NA;1.037;NA
3280;;;;;;No Dam;34;NA;1.547;NA;1.314;NA;1.002;NA;1.005;NA;1.037;NA
3286.552248;;;;;;Ice Dam;33;33;1.547;NA;1.641;NA;1.004;NA;1.005;NA;1.073;NA
3290;;;;;;No Dam;32;NA;1.877;NA;2.122;NA;1.008;NA;1.005;NA;1.073;NA
3298.498616;GPS0005;6985607.038;562958.126;122.069;soknaicedamsurvy;Ice Dam;30;30;1.877;1.877;1.893;1.893;1.01;1.01;1.005;1.005;1.073;1.73
3300;;;;;;No Dam;30;NA;1.877;NA;2.06;NA;1.011;NA;1.005;NA;1.073;NA
3310;GPS0006;6985612.577;562947.55;121.517;soknaicedamsurvy;No Dam;28;NA;2.209;2.209;2.01;2.01;1.013;1.013;1.005;1.005;1.073;1.73.
3320;;;;;;No Dam;26;NA;2.209;NA;2.106;NA;1.013;NA;1.005;NA;1.073;NA
3330;;;;;;No Dam;25;NA;2.209;NA;1.806;NA;1.014;NA;1.005;NA;1.073;NA
3333.108335;;;;;;Ice Dam;25;25;1.188;NA;1.567;NA;1.016;NA;1.005;NA;1.073;NA
3340;;;;;;No Dam;24;NA;1.188;NA;1.803;NA;1.018;NA;1.005;NA;1.073;NA
3347.355153;GPS0007;6985635.368;562918.543;122.812;soknaicedamsurvy;Ice Dam;22;22;1.188;1.188;2.579;2.579;1.019;1.019;1.005;1.005;1.073;1.73
3350;;;;;;No Dam;23;NA;1.888;NA;1.951;NA;1.02;NA;1.005;NA;1.073;NA
3360;GPS0008;6985647.471;562908.226;123.41;soknaicedamsurvy;No Dam;23;NA;1.888;1.888;1.596;1.596;1.023;1.023;1.031;1.031;1.073;1.73.
3370;;;;;;No Dam;25;NA;1.888;NA;1.445;NA;1.024;NA;1.031;NA;1.073;NA
3376.704105;;;;;;Ice Dam;22;22;1.302;NA;1.04;NA;1.028;NA;1.031;NA;1.073;NA
3380;;;;;;No Dam;23;NA;1.302;NA;1.515;NA;1.035;NA;1.031;NA;1.073;NA
